Features,CIP_Importance
group_16961,13.06666660308838
phnC_2,10.993613243103027
group_7183,8.879437446594238
group_33027,8.871803283691406
group_16635,8.751130104064941
group_14596,8.38974380493164
dsbA2,8.330889701843262
group_32500,6.731029987335205
group_12582,6.610017776489258
folP_2,6.175863742828369
group_25286,6.047554969787598
group_14198,5.65923547744751
group_6324,5.437721252441406
group_13502,5.181818008422852
group_23877,5.123844146728516
speE_1,5.0846147537231445
pqqA,4.940053939819336
group_28552,4.788727283477783
group_10495,4.783851623535156
group_21404,4.639684677124023
group_27513,4.569253921508789
Cutoff_13766,4.433219909667969
pvdS,4.230332374572754
group_17241,4.106395721435547
group_13238,3.9855566024780273
group_34581,3.92775559425354
group_16397,3.616069793701172
group_16782,3.583926200866699
group_12539,3.5741450786590576
group_21641,3.5157787799835205
group_2819,3.3435187339782715
group_33006,3.3375344276428223
group_19252,3.2668964862823486
group_9983,3.2467002868652344
group_25190,3.2129926681518555
tli5b3,3.197768211364746
Cutoff_61,3.169522285461426
Cutoff_10355,3.168149471282959
merA_1,3.0684664249420166
group_1237,3.03982162475586
group_32614,2.988696813583374
group_32450,2.96194076538086
group_28920,2.918154716491699
group_15253,2.9174585342407227
group_24796,2.916841745376587
group_4152,2.902195930480957
group_764,2.7745838165283203
group_7602,2.583432912826538
group_508,2.538171768188477
group_10253,2.5112924575805664
group_18380,2.426881790161133
group_21719,2.4152657985687256
group_9078,2.3966588973999023
group_18281,2.337085247039795
group_25419,2.238828659057617
group_28247,2.19612979888916
Cutoff_9984,2.168498992919922
group_27925,2.108592748641968
group_20399,2.046806573867798
group_8341,1.9731587171554563
group_8557,1.9241827726364136
group_26352,1.920846462249756
pvdD,1.892468810081482
group_11877,1.8781142234802248
group_28963,1.8774099349975584
group_32099,1.836455225944519
pcrG,1.7062029838562012
group_895,1.670560598373413
group_8853,1.6396827697753906
group_20030,1.6370238065719604
group_4092,1.5988762378692627
Cutoff_148,1.588856220245361
group_34882,1.5872191190719604
group_30733,1.5771032571792605
pspB,1.5452746152877808
group_26671,1.4974603652954102
group_14178,1.4819509983062744
group_24818,1.438971996307373
group_1827,1.4348530769348145
xerD_2,1.274444341659546
group_29297,1.2618004083633425
group_31228,1.256306767463684
group_26846,1.2396851778030396
group_21350,1.2370264530181885
group_6961,1.232554316520691
group_147,1.2161808013916016
oprD,1.2101622819900513
Cutoff_76,1.1965619325637815
group_26974,1.1878788471221924
group_24438,1.1866960525512695
group_13722,1.1836129426956177
group_20104,1.1765506267547607
group_30586,1.1638832092285156
group_16657,1.1528542041778564
ampD,1.1488702297210691
group_2988,1.1485127210617063
group_35127,1.1171706914901731
group_17066,1.1039133071899414
sphB,1.0903003215789795
group_26277,1.0522884130477903
group_12390,1.0485492944717407
group_6330,1.0284780263900757
group_31817,1.0242271423339844
lpxD_2,1.018519639968872
group_11838,1.0145797729492188
group_32896,1.010782241821289
group_23376,1.0026620626449585
group_20267,0.9879180192947388
group_35797,0.9844460487365724
group_13452,0.9813535809516908
xcpX,0.968017876148224
Cutoff_22,0.9578830599784852
group_17414,0.945483922958374
group_15873,0.932671070098877
group_9161,0.9273223876953124
group_16295,0.9176284074783324
group_33430,0.916851043701172
group_23292,0.913576602935791
group_4359,0.907311737537384
group_23287,0.9026426076889038
group_19363,0.8715906143188477
pdeG,0.8692951202392578
group_25978,0.8552255630493164
group_14259,0.8547008037567139
group_2274,0.8279667496681213
group_8201,0.824817419052124
group_10972,0.8245541453361511
group_1433,0.8084703087806702
group_26646,0.800051748752594
group_14929,0.7826106548309326
group_16730,0.781395435333252
group_4415,0.7662803530693054
pilQ,0.7637155055999756
group_12382,0.7520143985748291
group_6985,0.7305389046669006
group_4863,0.7112311124801636
group_8613,0.7050436735153198
group_33188,0.703905463218689
pilP2,0.6988586187362671
group_872,0.6891896724700928
group_7478,0.6879955530166626
group_34229,0.6848605275154114
group_6589,0.6826384663581848
group_35090,0.6720673441886902
viuB,0.6685075759887695
group_11500,0.6683972477912903
group_21614,0.6607614159584045
group_5115,0.6600464582443237
group_20884,0.658536434173584
group_12712,0.631495475769043
group_21623,0.6235870122909546
group_5153,0.6186006665229797
tpm,0.611912727355957
group_19770,0.6038022041320801
group_12583,0.6031098961830139
group_17204,0.598107635974884
group_11448,0.5952959656715393
group_27362,0.5893574357032776
group_23195,0.587275505065918
group_6575,0.5867245197296143
group_15772,0.5752587914466858
group_16696,0.5691191554069519
Cutoff_3,0.5446990132331848
group_25200,0.5444328188896179
group_10835,0.5430569052696228
group_8054,0.5341315865516663
group_22785,0.5341060161590576
group_29926,0.5335289835929871
group_9203,0.5322024822235107
hcnC_1,0.5232739448547363
group_21504,0.5130908489227295
Cutoff_262,0.5121448040008545
group_19114,0.5106610059738159
group_4832,0.5099281668663025
group_30326,0.50906902551651
group_22767,0.5049751996994019
group_7023,0.5018622279167175
Cutoff_173,0.4925053715705871
Cutoff_13,0.4904196262359619
group_7014,0.4873042106628418
group_19191,0.4803171753883362
group_28410,0.4794202744960785
group_3740,0.4766947031021118
Cutoff_1,0.4698027074337005
group_15849,0.4695518314838409
group_35448,0.4551153182983398
group_7630,0.4492213129997253
group_8099,0.4490601718425751
group_14415,0.4471039175987243
group_28578,0.4395925402641296
group_32236,0.4388020932674408
group_10844,0.4254775047302246
group_8490,0.4250064194202423
group_35588,0.4203419089317322
tli1,0.4185695648193359
group_859,0.4158439338207245
Cutoff_10013,0.4132742285728454
group_9982,0.4040931761264801
group_11895,0.3908839225769043
group_6565,0.3888598978519439
group_11634,0.387944221496582
glcD_3,0.3861116468906402
group_15722,0.3806418776512146
group_12897,0.3723821938037872
msrA,0.3705265522003174
group_11470,0.3662925362586975
group_5807,0.3645918071269989
group_23099,0.363455981016159
group_27978,0.359328031539917
group_29728,0.3529995679855346
group_15101,0.3467834591865539
group_11994,0.3443519473075866
group_1188,0.3394234180450439
group_33126,0.3343658745288849
group_35484,0.3332916498184204
group_1193,0.3263742625713348
group_1476,0.321309745311737
group_8194,0.305540919303894
group_9279,0.3039615452289581
group_1645,0.2993375062942505
group_22955,0.2988495826721191
group_20621,0.297161728143692
group_7666,0.2786864042282104
group_5035,0.2769786715507507
group_30165,0.2731735110282898
Cutoff_10095,0.2720634937286377
group_1077,0.269528180360794
recT,0.2673484086990356
lasR,0.2671863436698913
pvdO,0.2636855840682983
Cutoff_23,0.262083888053894
group_28815,0.2578646838665008
xcpT,0.257038801908493
group_18192,0.2559762001037597
group_5838,0.2554196119308471
aph_2,0.25287926197052
group_23223,0.2527208626270294
gloA2,0.2499510049819946
Cutoff_69,0.2470356822013855
group_11539,0.2452823370695114
COQ3_3,0.2373787760734558
group_17443,0.23499338328838346
group_23485,0.23429198563098905
Cutoff_9860,0.22990235686302182
clpP_3,0.2292656749486923
group_914,0.2291218042373657
group_21243,0.2219555377960205
group_35277,0.21807123720645902
group_21436,0.2160445600748062
group_2899,0.21343904733657834
Cutoff_9745,0.21148622035980222
group_8532,0.2092507183551788
group_25302,0.2071723937988281
group_7849,0.20560377836227414
group_17876,0.20338425040245053
group_6084,0.2025235295295715
group_20701,0.20101594924926755
group_25930,0.20008587837219236
group_7627,0.19540199637413022
Cutoff_4,0.193103551864624
group_9012,0.1907074451446533
Cutoff_49,0.1865144968032837
group_35853,0.18277160823345182
csrA_2,0.17981332540512082
dapH,0.1794283390045166
group_11518,0.1776040196418762
group_34187,0.17664620280265805
group_27491,0.1747933328151703
Cutoff_20,0.170042023062706
group_20451,0.1681540608406067
group_35295,0.1649838387966156
group_35010,0.1622263491153717
group_22261,0.15987271070480344
group_29250,0.1561887115240097
group_23486,0.15590660274028775
group_24021,0.15457212924957273
group_9137,0.152861014008522
