Drug_combo,Accuracy,R_recall,S_recall,R_precision,S_precision
CTZ_G,0.9848484848484849,0.8888888888888888,0.991869918699187,0.8888888888888888,0.991869918699187
CTZ_S,0.9318181818181818,0.4444444444444444,0.967479674796748,0.5,0.9596774193548387
CTZ_GY,0.9848484848484849,0.8888888888888888,0.991869918699187,0.8888888888888888,0.991869918699187
CTZ_GS,0.9772727272727273,0.8888888888888888,0.983739837398374,0.8,0.9918032786885246
CTZ_SY,0.9318181818181818,0.4444444444444444,0.967479674796748,0.5,0.9596774193548387
CTZ_GYS,0.9772727272727273,0.8888888888888888,0.983739837398374,0.8,0.9918032786885246
CTX_G,0.983739837398374,0.8,1.0,1.0,0.9826086956521739
CTX_S,0.9105691056910569,0.3,0.9646017699115044,0.42857142857142855,0.9396551724137931
CTX_GY,0.983739837398374,0.8,1.0,1.0,0.9826086956521739
CTX_GS,0.983739837398374,0.8,1.0,1.0,0.9826086956521739
CTX_SY,0.9105691056910569,0.3,0.9646017699115044,0.42857142857142855,0.9396551724137931
CTX_GYS,0.983739837398374,0.8,1.0,1.0,0.9826086956521739
AMP_G,0.8918918918918919,1.0,0.7333333333333333,0.8461538461538461,1.0
AMP_S,0.5675675675675675,0.6363636363636364,0.4666666666666667,0.6363636363636364,0.4666666666666667
AMP_GY,0.8918918918918919,1.0,0.7333333333333333,0.8461538461538461,1.0
AMP_GS,0.8918918918918919,1.0,0.7333333333333333,0.8461538461538461,1.0
AMP_SY,0.5675675675675675,0.6363636363636364,0.4666666666666667,0.6363636363636364,0.4666666666666667
AMP_GYS,0.8918918918918919,1.0,0.7333333333333333,0.8461538461538461,1.0
AMX_G,0.8541666666666666,0.8448275862068966,0.868421052631579,0.9074074074074074,0.7857142857142857
AMX_S,0.5625,0.6896551724137931,0.3684210526315789,0.625,0.4375
AMX_GY,0.8541666666666666,0.8448275862068966,0.868421052631579,0.9074074074074074,0.7857142857142857
AMX_GS,0.8541666666666666,0.8448275862068966,0.868421052631579,0.9074074074074074,0.7857142857142857
AMX_SY,0.5729166666666666,0.6551724137931034,0.4473684210526316,0.6440677966101694,0.4594594594594595
AMX_GYS,0.84375,0.8448275862068966,0.8421052631578947,0.8909090909090909,0.7804878048780488
AMC_G,0.8106060606060606,0.5263157894736842,0.925531914893617,0.7407407407407407,0.8285714285714286
AMC_S,0.696969696969697,0.2631578947368421,0.8723404255319149,0.45454545454545453,0.7454545454545455
AMC_GY,0.8181818181818182,0.6052631578947368,0.9042553191489362,0.71875,0.85
AMC_GS,0.7878787878787878,0.5,0.9042553191489362,0.6785714285714286,0.8173076923076923
AMC_SY,0.7272727272727273,0.2894736842105263,0.9042553191489362,0.55,0.7589285714285714
AMC_GYS,0.7878787878787878,0.5,0.9042553191489362,0.6785714285714286,0.8173076923076923
TZP_G,0.9242424242424242,0.16666666666666666,1.0,1.0,0.9230769230769231
TZP_S,0.8712121212121212,0.16666666666666666,0.9416666666666667,0.2222222222222222,0.9186991869918699
TZP_GY,0.9242424242424242,0.16666666666666666,1.0,1.0,0.9230769230769231
TZP_GS,0.8712121212121212,0.08333333333333333,0.95,0.14285714285714285,0.912
TZP_SY,0.8636363636363636,0.08333333333333333,0.9416666666666667,0.125,0.9112903225806451
TZP_GYS,0.8863636363636364,0.08333333333333333,0.9666666666666667,0.2,0.9133858267716536
CXM_G,0.8257575757575758,0.5,0.8909090909090909,0.4782608695652174,0.8990825688073395
CXM_S,0.7803030303030303,0.36363636363636365,0.8636363636363636,0.34782608695652173,0.8715596330275229
CXM_GY,0.8409090909090909,0.5,0.9090909090909091,0.5238095238095238,0.9009009009009009
CXM_GS,0.8409090909090909,0.5,0.9090909090909091,0.5238095238095238,0.9009009009009009
CXM_SY,0.7803030303030303,0.36363636363636365,0.8636363636363636,0.34782608695652173,0.8715596330275229
CXM_GYS,0.8484848484848485,0.5,0.9181818181818182,0.55,0.9017857142857143
CET_G,0.6216216216216216,0.6,0.6470588235294118,0.6666666666666666,0.5789473684210527
CET_S,0.5675675675675675,0.55,0.5882352941176471,0.6111111111111112,0.5263157894736842
CET_GY,0.6486486486486487,0.6,0.7058823529411765,0.7058823529411765,0.6
CET_GS,0.7027027027027027,0.7,0.7058823529411765,0.7368421052631579,0.6666666666666666
CET_SY,0.5945945945945946,0.6,0.5882352941176471,0.631578947368421,0.5555555555555556
CET_GYS,0.6486486486486487,0.65,0.6470588235294118,0.6842105263157895,0.6111111111111112
GEN_G,0.9545454545454546,0.5833333333333334,0.9916666666666667,0.875,0.9596774193548387
GEN_S,0.8484848484848485,0.08333333333333333,0.925,0.1,0.9098360655737705
GEN_GY,0.9545454545454546,0.5833333333333334,0.9916666666666667,0.875,0.9596774193548387
GEN_GS,0.9772727272727273,0.75,1.0,1.0,0.975609756097561
GEN_SY,0.8636363636363636,0.08333333333333333,0.9416666666666667,0.125,0.9112903225806451
GEN_GYS,0.9772727272727273,0.75,1.0,1.0,0.975609756097561
TBM_G,0.918918918918919,0.6,0.96875,0.75,0.9393939393939394
TBM_S,0.8648648648648649,0.0,1.0,0.0,0.8648648648648649
TBM_GY,0.918918918918919,0.6,0.96875,0.75,0.9393939393939394
TBM_GS,0.8918918918918919,0.4,0.96875,0.6666666666666666,0.9117647058823529
TBM_SY,0.8648648648648649,0.0,1.0,0.0,0.8648648648648649
TBM_GYS,0.8918918918918919,0.4,0.96875,0.6666666666666666,0.9117647058823529
TMP_G,0.8648648648648649,0.75,0.92,0.8181818181818182,0.8846153846153846
TMP_S,0.6486486486486487,0.5,0.72,0.46153846153846156,0.75
TMP_GY,0.8648648648648649,0.75,0.92,0.8181818181818182,0.8846153846153846
TMP_GS,0.8648648648648649,0.75,0.92,0.8181818181818182,0.8846153846153846
TMP_SY,0.6486486486486487,0.4166666666666667,0.76,0.45454545454545453,0.7307692307692307
TMP_GYS,0.8648648648648649,0.75,0.92,0.8181818181818182,0.8846153846153846
CIP_G,0.946969696969697,0.8461538461538461,0.9716981132075472,0.88,0.9626168224299065
CIP_S,0.8939393939393939,0.6923076923076923,0.9433962264150944,0.75,0.9259259259259259
CIP_GY,0.946969696969697,0.8461538461538461,0.9716981132075472,0.88,0.9626168224299065
CIP_GS,0.9318181818181818,0.7692307692307693,0.9716981132075472,0.8695652173913043,0.944954128440367
CIP_SY,0.9015151515151515,0.6923076923076923,0.9528301886792453,0.782608695652174,0.926605504587156
CIP_GYS,0.9318181818181818,0.7692307692307693,0.9716981132075472,0.8695652173913043,0.944954128440367
