Drug_combo,Accuracy,R_recall,S_recall,R_precision,S_precision
CTZ_G,0.9393939393939394,0.8888888888888888,0.943089430894309,0.5333333333333333,0.9914529914529915
CTZ_S,0.8939393939393939,0.5555555555555556,0.9186991869918699,0.3333333333333333,0.9658119658119658
CTZ_GY,0.9393939393939394,0.8888888888888888,0.943089430894309,0.5333333333333333,0.9914529914529915
CTZ_GS,0.9015151515151515,0.5555555555555556,0.926829268292683,0.35714285714285715,0.9661016949152542
CTZ_SY,0.8863636363636364,0.5555555555555556,0.9105691056910569,0.3125,0.9655172413793104
CTZ_GYS,0.9015151515151515,0.5555555555555556,0.926829268292683,0.35714285714285715,0.9661016949152542
CTX_G,0.943089430894309,0.7,0.9646017699115044,0.6363636363636364,0.9732142857142857
CTX_S,0.8211382113821138,0.6,0.8407079646017699,0.25,0.9595959595959596
CTX_GY,0.943089430894309,0.7,0.9646017699115044,0.6363636363636364,0.9732142857142857
CTX_GS,0.8617886178861789,0.5,0.8938053097345132,0.29411764705882354,0.9528301886792453
CTX_SY,0.8211382113821138,0.5,0.8495575221238938,0.22727272727272727,0.9504950495049505
CTX_GYS,0.8536585365853658,0.5,0.8849557522123894,0.2777777777777778,0.9523809523809523
AMP_G,0.6216216216216216,0.7272727272727273,0.4666666666666667,0.6666666666666666,0.5384615384615384
AMP_S,0.5945945945945946,0.6818181818181818,0.4666666666666667,0.6521739130434783,0.5
AMP_GY,0.6216216216216216,0.7272727272727273,0.4666666666666667,0.6666666666666666,0.5384615384615384
AMP_GS,0.5675675675675675,0.6818181818181818,0.4,0.625,0.46153846153846156
AMP_SY,0.6486486486486487,0.7727272727272727,0.4666666666666667,0.68,0.5833333333333334
AMP_GYS,0.5675675675675675,0.6818181818181818,0.4,0.625,0.46153846153846156
AMX_G,0.6979166666666666,0.7586206896551724,0.6052631578947368,0.7457627118644068,0.6216216216216216
AMX_S,0.5833333333333334,0.603448275862069,0.5526315789473685,0.6730769230769231,0.4772727272727273
AMX_GY,0.6875,0.7586206896551724,0.5789473684210527,0.7333333333333333,0.6111111111111112
AMX_GS,0.65625,0.6724137931034483,0.631578947368421,0.7358490566037735,0.5581395348837209
AMX_SY,0.5833333333333334,0.603448275862069,0.5526315789473685,0.6730769230769231,0.4772727272727273
AMX_GYS,0.6354166666666666,0.6724137931034483,0.5789473684210527,0.7090909090909091,0.5365853658536586
AMC_G,0.7803030303030303,0.5789473684210527,0.8617021276595744,0.6285714285714286,0.8350515463917526
AMC_S,0.6590909090909091,0.39473684210526316,0.7659574468085106,0.40540540540540543,0.7578947368421053
AMC_GY,0.7803030303030303,0.5789473684210527,0.8617021276595744,0.6285714285714286,0.8350515463917526
AMC_GS,0.7348484848484849,0.4473684210526316,0.851063829787234,0.5483870967741935,0.7920792079207921
AMC_SY,0.6363636363636364,0.34210526315789475,0.7553191489361702,0.3611111111111111,0.7395833333333334
AMC_GYS,0.7424242424242424,0.4473684210526316,0.8617021276595744,0.5666666666666667,0.7941176470588235
TZP_G,0.8484848484848485,0.08333333333333333,0.925,0.1,0.9098360655737705
TZP_S,0.7651515151515151,0.0,0.8416666666666667,0.0,0.8938053097345132
TZP_GY,0.8560606060606061,0.16666666666666666,0.925,0.18181818181818182,0.9173553719008265
TZP_GS,0.8484848484848485,0.08333333333333333,0.925,0.1,0.9098360655737705
TZP_SY,0.7954545454545454,0.0,0.875,0.0,0.8974358974358975
TZP_GYS,0.8560606060606061,0.16666666666666666,0.925,0.18181818181818182,0.9173553719008265
CXM_G,0.8106060606060606,0.6363636363636364,0.8454545454545455,0.45161290322580644,0.9207920792079208
CXM_S,0.7424242424242424,0.45454545454545453,0.8,0.3125,0.88
CXM_GY,0.8181818181818182,0.6363636363636364,0.8545454545454545,0.4666666666666667,0.9215686274509803
CXM_GS,0.7651515151515151,0.4090909090909091,0.8363636363636363,0.3333333333333333,0.8761904761904762
CXM_SY,0.7196969696969697,0.45454545454545453,0.7727272727272727,0.2857142857142857,0.8762886597938144
CXM_GYS,0.7803030303030303,0.36363636363636365,0.8636363636363636,0.34782608695652173,0.8715596330275229
CET_G,0.5945945945945946,0.6,0.5882352941176471,0.631578947368421,0.5555555555555556
CET_S,0.5135135135135135,0.65,0.35294117647058826,0.5416666666666666,0.46153846153846156
CET_GY,0.5945945945945946,0.6,0.5882352941176471,0.631578947368421,0.5555555555555556
CET_GS,0.43243243243243246,0.4,0.47058823529411764,0.47058823529411764,0.4
CET_SY,0.5135135135135135,0.65,0.35294117647058826,0.5416666666666666,0.46153846153846156
CET_GYS,0.43243243243243246,0.4,0.47058823529411764,0.47058823529411764,0.4
GEN_G,0.8939393939393939,0.25,0.9583333333333334,0.375,0.9274193548387096
GEN_S,0.8257575757575758,0.25,0.8833333333333333,0.17647058823529413,0.9217391304347826
GEN_GY,0.8939393939393939,0.25,0.9583333333333334,0.375,0.9274193548387096
GEN_GS,0.8636363636363636,0.25,0.925,0.25,0.925
GEN_SY,0.8409090909090909,0.3333333333333333,0.8916666666666667,0.23529411764705882,0.9304347826086956
GEN_GYS,0.8560606060606061,0.25,0.9166666666666666,0.23076923076923078,0.9243697478991597
TBM_G,0.8918918918918919,0.2,1.0,1.0,0.8888888888888888
TBM_S,0.7837837837837838,0.2,0.875,0.2,0.875
TBM_GY,0.8918918918918919,0.2,1.0,1.0,0.8888888888888888
TBM_GS,0.8648648648648649,0.2,0.96875,0.5,0.8857142857142857
TBM_SY,0.7837837837837838,0.2,0.875,0.2,0.875
TBM_GYS,0.8648648648648649,0.2,0.96875,0.5,0.8857142857142857
TMP_G,0.7837837837837838,0.5,0.92,0.75,0.7931034482758621
TMP_S,0.5675675675675675,0.5,0.6,0.375,0.7142857142857143
TMP_GY,0.7837837837837838,0.5,0.92,0.75,0.7931034482758621
TMP_GS,0.5675675675675675,0.5,0.6,0.375,0.7142857142857143
TMP_SY,0.5675675675675675,0.5833333333333334,0.56,0.3888888888888889,0.7368421052631579
TMP_GYS,0.5675675675675675,0.5,0.6,0.375,0.7142857142857143
CIP_G,0.946969696969697,0.8461538461538461,0.9716981132075472,0.88,0.9626168224299065
