Drug_combo,Accuracy,R_recall,S_recall,R_precision,S_precision
TBM_G,0.8905109489051095,0.82,0.9310344827586207,0.8723404255319149,0.9
TBM_S,0.8540145985401459,0.8,0.8850574712643678,0.8,0.8850574712643678
TBM_GS,0.8978102189781022,0.84,0.9310344827586207,0.875,0.9101123595505618
CTZ_G,0.6788321167883211,0.7752808988764045,0.5,0.7419354838709677,0.5454545454545454
CTZ_S,0.7518248175182481,0.7865168539325843,0.6875,0.8235294117647058,0.6346153846153846
CTZ_GS,0.7007299270072993,0.7752808988764045,0.5625,0.7666666666666667,0.574468085106383
CIP_G,0.7226277372262774,0.75,0.6792452830188679,0.7875,0.631578947368421
CIP_S,0.6715328467153284,0.7857142857142857,0.49056603773584906,0.7096774193548387,0.5909090909090909
CIP_GS,0.7007299270072993,0.7380952380952381,0.6415094339622641,0.7654320987654321,0.6071428571428571
MEM_G,0.7956204379562044,0.8532110091743119,0.5714285714285714,0.8857142857142857,0.5
MEM_S,0.6861313868613139,0.7798165137614679,0.32142857142857145,0.8173076923076923,0.2727272727272727
MEM_GS,0.7883211678832117,0.8532110091743119,0.5357142857142857,0.8773584905660378,0.4838709677419355
COL_G,0.7883211678832117,0.3157894736842105,0.864406779661017,0.2727272727272727,0.8869565217391304
COL_S,0.7518248175182481,0.3684210526315789,0.8135593220338984,0.2413793103448276,0.8888888888888888
COL_GS,0.7445255474452555,0.2631578947368421,0.8220338983050848,0.19230769230769232,0.8738738738738738
