Drug_combo,Accuracy,R_recall,S_recall,R_precision,S_precision
TBM_G,0.8832116788321168,0.8,0.9310344827586207,0.8695652173913043,0.8901098901098901
TBM_S,0.8540145985401459,0.8,0.8850574712643678,0.8,0.8850574712643678
TBM_GS,0.8759124087591241,0.8,0.9195402298850575,0.851063829787234,0.8888888888888888
CTZ_G,0.635036496350365,0.651685393258427,0.6041666666666666,0.7532467532467533,0.48333333333333334
CTZ_S,0.708029197080292,0.7528089887640449,0.625,0.788235294117647,0.5769230769230769
CTZ_GS,0.6131386861313869,0.6741573033707865,0.5,0.7142857142857143,0.4528301886792453
CIP_G,0.7299270072992701,0.7738095238095238,0.660377358490566,0.7831325301204819,0.6481481481481481
CIP_S,0.6934306569343066,0.7857142857142857,0.5471698113207547,0.7333333333333333,0.6170212765957447
CIP_GS,0.6861313868613139,0.75,0.5849056603773585,0.7411764705882353,0.5961538461538461
MEM_G,0.7445255474452555,0.8623853211009175,0.2857142857142857,0.8245614035087719,0.34782608695652173
MEM_S,0.7153284671532847,0.8073394495412844,0.35714285714285715,0.8301886792452831,0.3225806451612903
MEM_GS,0.7153284671532847,0.8440366972477065,0.21428571428571427,0.8070175438596491,0.2608695652173913
COL_G,0.7956204379562044,0.3157894736842105,0.8728813559322034,0.2857142857142857,0.8879310344827587
COL_S,0.7591240875912408,0.3157894736842105,0.8305084745762712,0.23076923076923078,0.8828828828828829
COL_GS,0.8029197080291971,0.3157894736842105,0.8813559322033898,0.3,0.8888888888888888
