Drug_combo,Accuracy,R_recall,S_recall,R_precision,S_precision
CTZ_G,0.9545454545454546,0.7777777777777778,0.967479674796748,0.6363636363636364,0.9834710743801653
CTZ_S,0.9393939393939394,0.4444444444444444,0.975609756097561,0.5714285714285714,0.96
CTZ_GY,0.9393939393939394,0.6666666666666666,0.959349593495935,0.5454545454545454,0.9752066115702479
CTZ_GS,0.9393939393939394,0.6666666666666666,0.959349593495935,0.5454545454545454,0.9752066115702479
CTZ_SY,0.9393939393939394,0.4444444444444444,0.975609756097561,0.5714285714285714,0.96
CTZ_GYS,0.9166666666666666,0.3333333333333333,0.959349593495935,0.375,0.9516129032258065
CTX_G,0.9186991869918699,0.6,0.9469026548672567,0.5,0.963963963963964
CTX_S,0.9105691056910569,0.4,0.9557522123893806,0.4444444444444444,0.9473684210526315
CTX_GY,0.926829268292683,0.6,0.9557522123893806,0.5454545454545454,0.9642857142857143
CTX_GS,0.9349593495934959,0.6,0.9646017699115044,0.6,0.9646017699115044
CTX_SY,0.9105691056910569,0.4,0.9557522123893806,0.4444444444444444,0.9473684210526315
CTX_GYS,0.9105691056910569,0.6,0.9380530973451328,0.46153846153846156,0.9636363636363636
AMP_G,0.7027027027027027,0.7727272727272727,0.6,0.7391304347826086,0.6428571428571429
AMP_S,0.5945945945945946,0.5909090909090909,0.6,0.6842105263157895,0.5
AMP_GY,0.6756756756756757,0.6818181818181818,0.6666666666666666,0.75,0.5882352941176471
AMP_GS,0.5405405405405406,0.6818181818181818,0.3333333333333333,0.6,0.4166666666666667
AMP_SY,0.5945945945945946,0.5909090909090909,0.6,0.6842105263157895,0.5
AMP_GYS,0.5135135135135135,0.6363636363636364,0.3333333333333333,0.5833333333333334,0.38461538461538464
AMX_G,0.7083333333333334,0.8103448275862069,0.5526315789473685,0.734375,0.65625
AMX_S,0.5833333333333334,0.7068965517241379,0.39473684210526316,0.640625,0.46875
AMX_GY,0.7291666666666666,0.8275862068965517,0.5789473684210527,0.75,0.6875
AMX_GS,0.7083333333333334,0.8620689655172413,0.47368421052631576,0.7142857142857143,0.6923076923076923
AMX_SY,0.6041666666666666,0.7068965517241379,0.4473684210526316,0.6612903225806451,0.5
AMX_GYS,0.6875,0.8275862068965517,0.47368421052631576,0.7058823529411765,0.6428571428571429
AMC_G,0.7575757575757576,0.3684210526315789,0.9148936170212766,0.6363636363636364,0.7818181818181819
AMC_S,0.7045454545454546,0.23684210526315788,0.8936170212765957,0.47368421052631576,0.7433628318584071
AMC_GY,0.7727272727272727,0.3684210526315789,0.9361702127659575,0.7,0.7857142857142857
AMC_GS,0.7348484848484849,0.2894736842105263,0.9148936170212766,0.5789473684210527,0.7610619469026548
AMC_SY,0.6742424242424242,0.23684210526315788,0.851063829787234,0.391304347826087,0.7339449541284404
AMC_GYS,0.75,0.34210526315789475,0.9148936170212766,0.6190476190476191,0.7747747747747747
TZP_G,0.8939393939393939,0.16666666666666666,0.9666666666666667,0.3333333333333333,0.9206349206349206
TZP_S,0.8712121212121212,0.08333333333333333,0.95,0.14285714285714285,0.912
TZP_GY,0.9015151515151515,0.16666666666666666,0.975,0.4,0.9212598425196851
TZP_GS,0.8939393939393939,0.25,0.9583333333333334,0.375,0.9274193548387096
TZP_SY,0.8636363636363636,0.08333333333333333,0.9416666666666667,0.125,0.9112903225806451
TZP_GYS,0.8787878787878788,0.16666666666666666,0.95,0.25,0.9193548387096774
CXM_G,0.8257575757575758,0.5,0.8909090909090909,0.4782608695652174,0.8990825688073395
CXM_S,0.8257575757575758,0.36363636363636365,0.9181818181818182,0.47058823529411764,0.8782608695652174
CXM_GY,0.8257575757575758,0.5,0.8909090909090909,0.4782608695652174,0.8990825688073395
CXM_GS,0.8409090909090909,0.5454545454545454,0.9,0.5217391304347826,0.908256880733945
CXM_SY,0.8181818181818182,0.4090909090909091,0.9,0.45,0.8839285714285714
CXM_GYS,0.8409090909090909,0.5,0.9090909090909091,0.5238095238095238,0.9009009009009009
CET_G,0.6216216216216216,0.7,0.5294117647058824,0.6363636363636364,0.6
CET_S,0.5945945945945946,0.6,0.5882352941176471,0.631578947368421,0.5555555555555556
CET_GY,0.6486486486486487,0.75,0.5294117647058824,0.6521739130434783,0.6428571428571429
CET_GS,0.6756756756756757,0.7,0.6470588235294118,0.7,0.6470588235294118
CET_SY,0.5675675675675675,0.55,0.5882352941176471,0.6111111111111112,0.5263157894736842
CET_GYS,0.7297297297297297,0.8,0.6470588235294118,0.7272727272727273,0.7333333333333333
GEN_G,0.8636363636363636,0.08333333333333333,0.9416666666666667,0.125,0.9112903225806451
GEN_S,0.9015151515151515,0.08333333333333333,0.9833333333333333,0.3333333333333333,0.9147286821705426
GEN_GY,0.8787878787878788,0.25,0.9416666666666667,0.3,0.9262295081967213
GEN_GS,0.9015151515151515,0.25,0.9666666666666667,0.42857142857142855,0.928
GEN_SY,0.8939393939393939,0.08333333333333333,0.975,0.25,0.9140625
GEN_GYS,0.8939393939393939,0.16666666666666666,0.9666666666666667,0.3333333333333333,0.9206349206349206
TBM_G,0.8648648648648649,0.2,0.96875,0.5,0.8857142857142857
TBM_S,0.8918918918918919,0.2,1.0,1.0,0.8888888888888888
TBM_GY,0.8918918918918919,0.2,1.0,1.0,0.8888888888888888
TBM_GS,0.8648648648648649,0.0,1.0,0.0,0.8648648648648649
TBM_SY,0.8918918918918919,0.2,1.0,1.0,0.8888888888888888
TBM_GYS,0.8918918918918919,0.2,1.0,1.0,0.8888888888888888
TMP_G,0.7027027027027027,0.3333333333333333,0.88,0.5714285714285714,0.7333333333333333
