Drug_combo,Accuracy,R_precision,S_precision,R_recall,S_recall
CTZ_G,0.7424242496490479,0.1951219512195122,0.989010989010989,0.8888888888888888,0.7317073170731707
CTZ_S,0.9166666865348816,0.0,0.9307692307692308,0.0,0.983739837398374
CTZ_GY,0.7196969985961914,0.18181818181818182,0.9886363636363636,0.8888888888888888,0.7073170731707317
CTZ_SY,0.3636363744735718,0.0967741935483871,1.0,1.0,0.3170731707317073
CTZ_GS,0.8409090638160706,0.2857142857142857,0.9903846153846154,0.8888888888888888,0.8373983739837398
CTZ_GYS,0.8939393758773804,0.38095238095238093,0.990990990990991,0.8888888888888888,0.8943089430894309
CTX_G,0.8292682766914368,0.2962962962962963,0.9791666666666666,0.8,0.831858407079646
CTX_S,0.43089431524276733,0.10526315789473684,0.9574468085106383,0.8,0.39823008849557523
CTX_GY,0.707317054271698,0.19047619047619047,0.9753086419753086,0.8,0.6991150442477876
CTX_SY,0.49593496322631836,0.12857142857142856,0.9811320754716981,0.9,0.46017699115044247
CTX_GS,0.7317073345184326,0.20512820512820512,0.9761904761904762,0.8,0.7256637168141593
CTX_GYS,0.8048780560493469,0.28125,0.989010989010989,0.9,0.7964601769911505
AMP_G,0.6486486196517944,0.6956521739130435,0.5714285714285714,0.7272727272727273,0.5333333333333333
AMP_S,0.5675675868988037,0.5882352941176471,0.3333333333333333,0.9090909090909091,0.06666666666666667
AMP_GY,0.45945945382118225,0.6,0.4074074074074074,0.2727272727272727,0.7333333333333333
AMP_SY,0.5135135054588318,0.75,0.4482758620689655,0.2727272727272727,0.8666666666666667
AMP_GS,0.5405405163764954,0.5862068965517241,0.375,0.7727272727272727,0.2
AMP_GYS,0.5405405163764954,0.6190476190476191,0.4375,0.5909090909090909,0.4666666666666667
AMX_G,0.6354166865348816,0.7254901960784313,0.5333333333333333,0.6379310344827587,0.631578947368421
AMX_S,0.46875,0.5777777777777777,0.37254901960784315,0.4482758620689655,0.5
AMX_GY,0.6354166865348816,0.6716417910447762,0.5517241379310345,0.7758620689655172,0.42105263157894735
AMX_SY,0.5833333134651184,0.6125,0.4375,0.8448275862068966,0.18421052631578946
AMX_GS,0.5729166865348816,0.6666666666666666,0.4666666666666667,0.5862068965517241,0.5526315789473685
AMX_GYS,0.625,0.6833333333333333,0.5277777777777778,0.7068965517241379,0.5
AMC_G,0.6515151262283325,0.42,0.7926829268292683,0.5526315789473685,0.6914893617021277
AMC_S,0.5833333134651184,0.33962264150943394,0.7468354430379747,0.47368421052631576,0.6276595744680851
AMC_GY,0.6060606241226196,0.39705882352941174,0.828125,0.7105263157894737,0.5638297872340425
AMC_SY,0.5303030014038086,0.3,0.7222222222222222,0.47368421052631576,0.5531914893617021
AMC_GS,0.6969696879386902,0.4666666666666667,0.7647058823529411,0.3684210526315789,0.8297872340425532
AMC_GYS,0.6287878751754761,0.4067796610169492,0.8082191780821918,0.631578947368421,0.6276595744680851
TZP_G,0.7045454382896423,0.15384615384615385,0.9354838709677419,0.5,0.725
TZP_S,0.5681818127632141,0.10526315789473684,0.92,0.5,0.575
TZP_GY,0.689393937587738,0.14634146341463414,0.9340659340659341,0.5,0.7083333333333334
TZP_SY,0.5378788113594055,0.12307692307692308,0.9402985074626866,0.6666666666666666,0.525
TZP_GS,0.7045454382896423,0.13513513513513514,0.9263157894736842,0.4166666666666667,0.7333333333333333
TZP_GYS,0.6590909361839294,0.0975609756097561,0.9120879120879121,0.3333333333333333,0.6916666666666667
CXM_G,0.6515151262283325,0.26,0.8902439024390244,0.5909090909090909,0.6636363636363637
CXM_S,0.3712121248245239,0.16483516483516483,0.8292682926829268,0.6818181818181818,0.3090909090909091
CXM_GY,0.75,0.36585365853658536,0.9230769230769231,0.6818181818181818,0.7636363636363637
CXM_SY,0.4469696879386902,0.1927710843373494,0.8775510204081632,0.7272727272727273,0.39090909090909093
CXM_GS,0.7651515007019043,0.3783783783783784,0.9157894736842105,0.6363636363636364,0.7909090909090909
CXM_GYS,0.7196969985961914,0.3170731707317073,0.9010989010989011,0.5909090909090909,0.7454545454545455
CET_G,0.7027027010917664,0.7647058823529411,0.65,0.65,0.7647058823529411
CET_S,0.5135135054588318,0.53125,0.4,0.85,0.11764705882352941
CET_GY,0.6216216087341309,0.7142857142857143,0.5652173913043478,0.5,0.7647058823529411
CET_SY,0.4864864945411682,0.5217391304347826,0.42857142857142855,0.6,0.35294117647058826
CET_GS,0.6756756901741028,0.9,0.5925925925925926,0.45,0.9411764705882353
CET_GYS,0.8108108043670654,0.8823529411764706,0.75,0.75,0.8823529411764706
GEN_G,0.7651515007019043,0.2564102564102564,0.978494623655914,0.8333333333333334,0.7583333333333333
GEN_S,0.3181818127632141,0.0851063829787234,0.8947368421052632,0.6666666666666666,0.2833333333333333
GEN_GY,0.560606062412262,0.16176470588235295,0.984375,0.9166666666666666,0.525
GEN_SY,0.280303031206131,0.0970873786407767,0.9310344827586207,0.8333333333333334,0.225
GEN_GS,0.7878788113594055,0.25,0.96,0.6666666666666666,0.8
GEN_GYS,0.8409090638160706,0.2857142857142857,0.9459459459459459,0.5,0.875
TBM_G,0.7567567825317383,0.3,0.9259259259259259,0.6,0.78125
TBM_S,0.8648648858070374,0.0,0.8648648648648649,0.0,1.0
TBM_GY,0.7297297120094299,0.2727272727272727,0.9230769230769231,0.6,0.75
TBM_SY,0.37837839126586914,0.125,0.8461538461538461,0.6,0.34375
TBM_GS,0.7297297120094299,0.2727272727272727,0.9230769230769231,0.6,0.75
TBM_GYS,0.7297297120094299,0.2727272727272727,0.9230769230769231,0.6,0.75
TMP_G,0.6486486196517944,0.47619047619047616,0.875,0.8333333333333334,0.56
TMP_S,0.6486486196517944,0.0,0.6666666666666666,0.0,0.96
TMP_GY,0.6216216087341309,0.4375,0.7619047619047619,0.5833333333333334,0.64
TMP_SY,0.3513513505458832,0.3235294117647059,0.6666666666666666,0.9166666666666666,0.08
TMP_GS,0.6486486196517944,0.46153846153846156,0.75,0.5,0.72
TMP_GYS,0.29729729890823364,0.28125,0.4,0.75,0.08
CIP_G,0.8181818127632141,0.5217391304347826,0.9767441860465116,0.9230769230769231,0.7924528301886793
CIP_S,0.7575757503509521,0.25,0.8083333333333333,0.11538461538461539,0.9150943396226415
CIP_GY,0.7045454382896423,0.39344262295081966,0.971830985915493,0.9230769230769231,0.6509433962264151
CIP_SY,0.7121211886405945,0.3235294117647059,0.8469387755102041,0.4230769230769231,0.7830188679245284
CIP_GS,0.7878788113594055,0.4791666666666667,0.9642857142857143,0.8846153846153846,0.7641509433962265
CIP_GYS,0.810606062412262,0.5111111111111111,0.9655172413793104,0.8846153846153846,0.7924528301886793
