Drug_combo,Accuracy,R_precision,S_precision,R_recall,S_recall
TBM_G,0.8613138794898987,0.813953488372093,0.8829787234042553,0.7608695652173914,0.9120879120879121
TBM_S,0.5912408828735352,0.4444444444444444,0.8723404255319149,0.8695652173913043,0.45054945054945056
TBM_GS,0.8905109763145447,0.8780487804878049,0.8958333333333334,0.782608695652174,0.945054945054945
CTZ_G,0.5620437860488892,0.7837837837837838,0.48,0.35802469135802467,0.8571428571428571
CTZ_S,0.6058394312858582,0.6115702479338843,0.5625,0.9135802469135802,0.16071428571428573
CTZ_GS,0.6569343209266663,0.8269230769230769,0.5529411764705883,0.5308641975308642,0.8392857142857143
CIP_G,0.6569343209266663,0.9111111111111111,0.532608695652174,0.4880952380952381,0.9245283018867925
CIP_S,0.6204379796981812,0.6739130434782609,0.5111111111111111,0.7380952380952381,0.4339622641509434
CIP_GS,0.6423357725143433,0.7868852459016393,0.5263157894736842,0.5714285714285714,0.7547169811320755
MEM_G,0.5474452376365662,0.8823529411764706,0.3488372093023256,0.44554455445544555,0.8333333333333334
MEM_S,0.6861313581466675,0.7230769230769231,0.0,0.9306930693069307,0.0
MEM_GS,0.5474452376365662,0.8,0.3194444444444444,0.5148514851485149,0.6388888888888888
COL_G,0.6496350169181824,0.3333333333333333,0.8961038961038961,0.7142857142857143,0.6330275229357798
COL_S,0.39416059851646423,0.24299065420560748,0.9333333333333333,0.9285714285714286,0.25688073394495414
COL_GS,0.5474452376365662,0.2976190476190476,0.9433962264150944,0.8928571428571429,0.45871559633027525
